practice,area,capability,prompt
Data Engineering,Automation & Workflow Orchestration,Idempotency & State Management,Do you maintain metadata for incremental loads or stateful retries?
Data Engineering,Automation & Workflow Orchestration,Multi-Tenant / Multi-Team Usage,"Are workflows organized per team, domain, or business unit?"
Data Engineering,Automation & Workflow Orchestration,Multi-Tenant / Multi-Team Usage,How is access to workflows and DAGs controlled across teams?
Data Engineering,Automation & Workflow Orchestration,Multi-Tenant / Multi-Team Usage,Can teams build and deploy workflows independently?
Data Engineering,Automation & Workflow Orchestration,DevOps Integration,Are workflow changes peer-reviewed and deployed via CI/CD?
Data Engineering,Automation & Workflow Orchestration,DevOps Integration,How are changes to orchestration logic validated before production deployment?
Data Engineering,Automation & Workflow Orchestration,DevOps Integration,Do engineers test workflows in isolated environments?
Data Engineering,Observability & Monitoring,Pipeline Health Monitoring,How do you monitor the status and success/failure of your data pipelines?
Data Engineering,Observability & Monitoring,Pipeline Health Monitoring,"Do you track execution duration, data volume processed, and error rates per pipeline?"
Data Engineering,Observability & Monitoring,Pipeline Health Monitoring,"How is monitoring implemented across batch, streaming, and real-time jobs?"
Data Engineering,Observability & Monitoring,Data Quality Monitoring,"Are there automatic checks for data quality (e.g., null rates, schema changes, outliers)?"
Data Engineering,Observability & Monitoring,Data Quality Monitoring,How are upstream data quality issues detected and communicated to downstream teams?
Data Engineering,Observability & Monitoring,Data Quality Monitoring,"Are anomaly detection tools or data validation frameworks (e.g., Great Expectations, dbt tests) in use?"
Data Engineering,Observability & Monitoring,Infrastructure & Resource Monitoring,"Do you monitor CPU, memory, storage, and I/O for data infrastructure components?"
Data Engineering,Observability & Monitoring,Infrastructure & Resource Monitoring,"How do you detect and resolve system-level bottlenecks (e.g., cluster overutilization)?"
Data Engineering,Observability & Monitoring,Infrastructure & Resource Monitoring,"Are thresholds, alerts, or auto-scaling rules defined for infrastructure metrics?"
Data Engineering,Observability & Monitoring,Logging Practices,"What logging tools (e.g., CloudWatch, ELK, Datadog) do you use?"
Data Engineering,Observability & Monitoring,Logging Practices,"Are logs structured, queryable, and enriched with context (e.g., job ID, tenant)?"
Data Engineering,Observability & Monitoring,Logging Practices,"Who reviews logs, and how often?"
Data Engineering,Observability & Monitoring,Alerting & Escalation,"What types of alerts do you receive (pipeline failures, performance degradation, data anomalies)?"
Data Engineering,Observability & Monitoring,Alerting & Escalation,"Who gets notified and how (Slack, PagerDuty, email)?"
Data Engineering,Observability & Monitoring,Alerting & Escalation,Is there a defined escalation path or on-call rotation?
Data Engineering,Observability & Monitoring,End-to-End Lineage Visibility,"Can you trace the flow of data from source to consumption (e.g., ingestion → transformation → reporting)?"
Data Engineering,Observability & Monitoring,End-to-End Lineage Visibility,Is lineage tracked automatically or manually maintained?
Data Engineering,Observability & Monitoring,End-to-End Lineage Visibility,Is data lineage used to debug incidents or understand impact?
Data Engineering,Observability & Monitoring,Dashboards & Observability Tools,Are there centralized dashboards that show system health and data freshness?
Data Engineering,Observability & Monitoring,Dashboards & Observability Tools,"What observability tools (e.g., Grafana, Monte Carlo, OpenTelemetry) are used?"
Data Engineering,Observability & Monitoring,Dashboards & Observability Tools,Can stakeholders (non-engineers) access and understand data availability status?
Data Engineering,Observability & Monitoring,SLAs & SLOs,"Are SLAs defined for data freshness, availability, or uptime?"
Data Engineering,Observability & Monitoring,SLAs & SLOs,"How are SLA breaches tracked, reported, and remediated?"
Data Engineering,Observability & Monitoring,SLAs & SLOs,Is SLA performance used as a KPI for engineering or business reporting?
Data Engineering,Observability & Monitoring,Incident Management,"How are incidents tracked and triaged (e.g., ticketing systems, postmortems)?"
Data Engineering,Observability & Monitoring,Incident Management,Do you perform root cause analysis (RCA) and track time-to-resolution?
Data Engineering,Observability & Monitoring,Incident Management,How often do recurring monitoring failures or false positives occur?
Data Engineering,Observability & Monitoring,Proactive Monitoring & Anomaly Detection,Are monitoring tools configured to proactively detect anomalies?
Data Engineering,Observability & Monitoring,Proactive Monitoring & Anomaly Detection,"Do you use ML/AI-based anomaly detection (e.g., sudden drops/spikes in metrics)?"
Data Engineering,Observability & Monitoring,Proactive Monitoring & Anomaly Detection,Are alerts prioritized by severity or impact?
Data Engineering,Disaster Recovery & Backup,Backup Coverage,"What data assets (e.g., databases, pipelines, file systems) are backed up regularly?"
Data Engineering,Disaster Recovery & Backup,Backup Coverage,Are both raw data and transformed outputs included in your backup strategy?
Data Engineering,Disaster Recovery & Backup,Backup Coverage,"How is metadata (e.g., schema definitions, configurations) backed up?"
Data Engineering,Disaster Recovery & Backup,Backup Frequency & Retention,"How often are backups taken (e.g., hourly, daily, weekly)?"
Data Engineering,Disaster Recovery & Backup,Backup Frequency & Retention,What is the data retention policy for backups?
Data Engineering,Disaster Recovery & Backup,Backup Frequency & Retention,Are backups stored across multiple regions or storage tiers?
Data Engineering,Disaster Recovery & Backup,Backup Validation & Monitoring,Are backup jobs monitored for completion and correctness?
Data Engineering,Disaster Recovery & Backup,Backup Validation & Monitoring,How do you verify that backups are not corrupted and are restorable?
Data Engineering,Disaster Recovery & Backup,Backup Validation & Monitoring,Is there an alerting system for failed or missed backups?
Data Engineering,Disaster Recovery & Backup,Disaster Recovery Plan,Do you have a documented disaster recovery (DR) plan specific to data systems?
Data Engineering,Disaster Recovery & Backup,Disaster Recovery Plan,What are your defined RTO (Recovery Time Objective) and RPO (Recovery Point Objective)?
Data Engineering,Disaster Recovery & Backup,Disaster Recovery Plan,Who is responsible for executing the DR plan?
Data Engineering,Disaster Recovery & Backup,Recovery Drills & Testing,"How often do you perform recovery testing (e.g., simulating data loss, infrastructure failure)?"
Data Engineering,Disaster Recovery & Backup,Recovery Drills & Testing,When was the last successful end-to-end recovery test?
Data Engineering,Disaster Recovery & Backup,Recovery Drills & Testing,What percentage of the environment is tested during these drills?
Data Engineering,Disaster Recovery & Backup,Infrastructure Resilience,"Are critical systems (e.g., data warehouse, orchestration layer) configured for high availability?"
Data Engineering,Disaster Recovery & Backup,Infrastructure Resilience,Is failover automatic or manual?
Data Engineering,Disaster Recovery & Backup,Infrastructure Resilience,Do you use multi-zone or multi-region replication?
Data Engineering,Disaster Recovery & Backup,Data Versioning & Time Travel,"Do you use tools or databases that support data versioning or time travel (e.g., Snowflake, Delta Lake)?"
Data Engineering,Disaster Recovery & Backup,Data Versioning & Time Travel,Can you recover data at a specific point in time without full restoration?
Data Engineering,Disaster Recovery & Backup,Data Versioning & Time Travel,How far back can you look in your historical data snapshots?
Data Engineering,Disaster Recovery & Backup,Access to Backups,"Who has access to backups, and how is access controlled?"
Data Engineering,Disaster Recovery & Backup,Access to Backups,Are backup locations encrypted and access-audited?
Data Engineering,Disaster Recovery & Backup,Access to Backups,"Can backups be restored selectively (e.g., only specific tables or partitions)?"
Data Engineering,Disaster Recovery & Backup,Third-Party Dependencies,"How do you manage DR for third-party-managed data services (e.g., SaaS pipelines, cloud-native warehouses)?"
Data Engineering,Disaster Recovery & Backup,Third-Party Dependencies,Are there SLAs in place with these vendors regarding data durability and recovery?
Data Engineering,Disaster Recovery & Backup,Post-Recovery Validation,"After a restoration or recovery event, how is data integrity validated?"
Data Engineering,Disaster Recovery & Backup,Post-Recovery Validation,"Are consumers (BI tools, downstream processes) tested post-recovery to ensure completeness?"
Data Engineering,Disaster Recovery & Backup,Post-Recovery Validation,Do you track and document lessons learned from each recovery?
Data Engineering,Self-Service & Data Democratization,Data Discoverability & Cataloging,Can business users easily find and understand the datasets available to them?
Data Engineering,Self-Service & Data Democratization,Data Discoverability & Cataloging,Is there a centralized data catalog or glossary in place?
Data Engineering,Self-Service & Data Democratization,Data Discoverability & Cataloging,"Are metadata, lineage, and data ownership clearly defined and accessible?"
Data Engineering,Self-service & Democratization,User Access & Permissions,How are access permissions to data sets granted and managed?
Data Engineering,Self-service & Democratization,User Access & Permissions,Is there a role-based access control model in place for data usage?
Data Engineering,Self-service & Democratization,User Access & Permissions,Are users able to request access independently through a defined workflow?
Data Engineering,Self-service & Democratization,Self-Service Analytics Enablement,"What tools (e.g., Looker, Tableau, Power BI, Sigma) are available for self-service analytics?"
Data Engineering,Self-service & Democratization,Self-Service Analytics Enablement,Can non-technical users build or modify reports and dashboards on their own?
Data Engineering,Self-service & Democratization,Self-Service Analytics Enablement,"Do users have access to raw data (e.g., Snowflake, BigQuery) or only curated datasets?"
Data Engineering,Self-service & Democratization,Data Literacy & Enablement,Are there training programs or onboarding resources to help new users understand the data?
Data Engineering,Self-service & Democratization,Data Literacy & Enablement,"Do teams publish and maintain documentation on KPIs, definitions, and reporting practices?"
Data Engineering,Self-service & Democratization,Data Literacy & Enablement,Are data dictionaries and examples of use cases easily accessible?
Data Engineering,Self-service & Democratization,Data Request Workflow,How often do business users request help from data engineers or analysts for basic queries?
Data Engineering,Self-service & Democratization,Data Request Workflow,"Is there a structured intake process for data requests (e.g., JIRA, Asana, ticket system)?"
Data Engineering,Self-service & Democratization,Data Request Workflow,Are frequent requests analyzed to identify opportunities for self-service?
Data Engineering,Self-service & Democratization,Standardization of Metrics & KPIs,Is there a single source of truth for core KPIs and metrics?
Data Engineering,Self-service & Democratization,Standardization of Metrics & KPIs,Do different departments calculate the same KPI in different ways?
Data Engineering,Self-service & Democratization,Standardization of Metrics & KPIs,Are metric definitions documented and accessible from BI tools or data catalogs?
Data Engineering,Self-service & Democratization,Data Access Governance,"How is compliance ensured for sensitive data exposed in self-service tools (e.g., PII, financials)?"
Data Engineering,Self-service & Democratization,Data Access Governance,Are data usage logs monitored and audited for anomalies or misuse?
Data Engineering,Self-service & Democratization,Data Access Governance,Can you trace who accessed what data and when?
Data Engineering,Self-service & Democratization,Integration with Other Tools,"Are data tools integrated into common workflows (e.g., CRM, marketing platforms, finance systems)?"
Data Engineering,Self-service & Democratization,Integration with Other Tools,"Can business users export or sync data to their preferred tools (e.g., spreadsheets, Slack)?"
Data Engineering,Self-service & Democratization,Integration with Other Tools,Is reverse ETL or data activation used to serve data back into operational tools?
Data Engineering,Self-service & Democratization,Usage Metrics & Feedback,Do you track how often dashboards and data sets are used?
Data Engineering,Self-service & Democratization,Usage Metrics & Feedback,Is there a process for collecting feedback on self-service tools and data quality?
Data Engineering,Self-service & Democratization,Usage Metrics & Feedback,Are changes to commonly used datasets communicated clearly to end-users?
Data Engineering,Integration & APIs,System Interoperability & Connectivity,What systems (internal or external) does your data infrastructure integrate with regularly?
Data Engineering,Integration & APIs,System Interoperability & Connectivity,Are integrations primarily batch-based or do they support streaming/real-time capabilities?
Data Engineering,Integration & APIs,System Interoperability & Connectivity,"Are third-party APIs (e.g., for SaaS tools, marketing platforms, CRMs) used in data pipelines? How?"
Data Engineering,Integration & APIs,API Usage & Design,Are internal APIs available to expose processed data or metrics to other teams or applications?
Data Engineering,Integration & APIs,API Usage & Design,"Are there standards in place for API development (e.g., REST/GraphQL, naming, authentication)?"
Data Engineering,Integration & APIs,API Usage & Design,"How do data engineers consume external APIs for data ingestion (e.g., rate limits, retries, error handling)?"
Data Engineering,Integration & APIs,Data Ingestion from External Systems,"How are external data sources integrated (e.g., vendors, partners, public data)?"
Data Engineering,Integration & APIs,Data Ingestion from External Systems,"Is ingestion of external data automated and monitored, or done manually via spreadsheets/files?"
Data Engineering,Integration & APIs,Data Ingestion from External Systems,How often do API schema changes or vendor disruptions impact ingestion?
Data Engineering,Integration & APIs,Outbound Data Distribution,"Can business systems (e.g., Salesforce, HubSpot, Slack, ERP tools) be programmatically enriched with data?"
Data Engineering,Integration & APIs,Outbound Data Distribution,Do you use reverse ETL or similar solutions to send data back into operational systems?
Data Engineering,Integration & APIs,Outbound Data Distribution,Are there APIs or data products designed to support downstream consumers?
Data Engineering,Integration & APIs,Monitoring & Maintenance,"Are API integrations monitored for uptime, error rates, and throughput?"
Data Engineering,Integration & APIs,Monitoring & Maintenance,How are changes to API versions or schemas managed across the data stack?
Data Engineering,Integration & APIs,Monitoring & Maintenance,Are SLAs defined for critical integrations?
Data Engineering,Integration & APIs,Security & Access Control,How is authentication handled for internal vs. external APIs?
Data Engineering,Integration & APIs,Security & Access Control,"Are secrets and tokens managed securely (e.g., via vaults, environment variables)?"
Data Engineering,Integration & APIs,Security & Access Control,Do different teams have appropriately scoped access to read/write APIs?
Data Engineering,Integration & APIs,Documentation & Governance,Are APIs and integration flows documented and discoverable by internal stakeholders?
Data Engineering,Integration & APIs,Documentation & Governance,Is ownership and change management clear for each integration?
Data Engineering,Integration & APIs,Documentation & Governance,Are integration tests automated and part of your CI/CD workflows?
Data Engineering,Cost Management,Cost Visibility & Reporting,"Do you have visibility into the costs incurred by your data pipelines, queries, and infrastructure?"
Data Engineering,Cost Management,Cost Visibility & Reporting,"Are costs broken down by department, project, team, or environment (e.g., dev, prod)?"
Data Engineering,Cost Management,Cost Visibility & Reporting,How often are cost reports or dashboards reviewed by data engineering leadership?
Data Engineering,Cost Management,Monitoring & Alerts,Do you receive automated alerts when costs exceed predefined thresholds?
Data Engineering,Cost Management,Monitoring & Alerts,"Can you track cost anomalies (e.g., sudden spikes from long-running queries or failed jobs)?"
Data Engineering,Cost Management,Monitoring & Alerts,"Are alerts actionable and tied to specific users, pipelines, or services?"
Data Engineering,Cost Management,Optimization Efforts,Have you conducted cost audits or optimization reviews in the past 6–12 months?
Data Engineering,Cost Management,Optimization Efforts,"What tooling or processes do you use to reduce unnecessary compute, storage, or idle resources?"
Data Engineering,Cost Management,Optimization Efforts,Are inefficient queries or pipelines regularly identified and refactored?
Data Engineering,Cost Management,Access & Budget Governance,"Who is authorized to provision cloud data resources (e.g., warehouses, clusters)?"
Data Engineering,Cost Management,Access & Budget Governance,Are there limits or quotas in place to prevent runaway spend?
Data Engineering,Cost Management,Access & Budget Governance,Is there a budget governance process for new data initiatives?
Data Engineering,Cost Management,Cost Attribution & Chargeback,"Can you attribute costs to specific teams, services, or use cases?"
Data Engineering,Cost Management,Cost Attribution & Chargeback,Is there a chargeback or showback model in place for business stakeholders or departments?
Data Engineering,Cost Management,Cost Attribution & Chargeback,How is cost accountability enforced or incentivized across departments?
Data Engineering,Cost Management,Forecasting & Planning,Do you forecast future data infrastructure costs based on usage growth or new projects?
Data Engineering,Cost Management,Forecasting & Planning,How accurate have past forecasts been compared to actual costs?
Data Engineering,Cost Management,Forecasting & Planning,Are cost considerations a part of the design phase for new pipelines or infrastructure changes?
Data Engineering,Cost Management,Tools & Automation,"What tools or dashboards do you use for cost visibility (e.g., AWS Cost Explorer, Snowflake Usage, custom Grafana)?"
Data Engineering,Cost Management,Tools & Automation,"Is cost data integrated into your observability or workflow orchestration platforms (e.g., Airflow, dbt Cloud)?"
Data Engineering,Cost Management,Tools & Automation,Can stakeholders self-serve cost data for their own projects or teams?
Data Engineering,Cost Management,Cultural Awareness & Practices,How aware are engineers of the cost impact of their data workflows?
Data Engineering,Cost Management,Cultural Awareness & Practices,"Is cost discussed during pull requests, code reviews, or architecture decisions?"
Data Engineering,Cost Management,Cultural Awareness & Practices,What’s the most expensive recurring cost in your data stack—and is it justified?
