practice,area,capability,state,score,level_name
Data Engineering,Disaster Recovery & Backup,Monitoring & Validation,Manual spot-checks performed infrequently.,2,Developing
Data Engineering,Disaster Recovery & Backup,Disaster Recovery Planning,Partial documentation exists but rarely updated or tested.,2,Developing
Data Engineering,Disaster Recovery & Backup,Recovery Testing / Drills,Informal or partial recovery attempted occasionally.,2,Developing
Data Engineering,Disaster Recovery & Backup,Infrastructure Resilience,"Some HA built-in (e.g., read replicas); not reliable under real load.",2,Developing
Data Engineering,Disaster Recovery & Backup,Data Versioning & Time Travel,Manual snapshots or exports used for limited versioning.,2,Developing
Data Engineering,Disaster Recovery & Backup,Access Controls for Backups,Access limited to ops or admin team but not tracked.,2,Developing
Data Engineering,Disaster Recovery & Backup,Recovery Time (RTO),Recovery possible in hours but not measured or rehearsed.,2,Developing
Data Engineering,Disaster Recovery & Backup,Recovery Point (RPO),Some systems have daily RPOs; others undocumented.,2,Developing
Data Engineering,Disaster Recovery & Backup,Third-Party Dependency Coverage,Some SLAs known; no control or fallback strategy in place.,2,Developing
Data Engineering,Disaster Recovery & Backup,Post-Recovery Validation,Manual validation by engineers after recovery.,2,Developing
Data Engineering,Self-Service & Democratization,Data Discoverability,Some documentation exists in siloed tools or teams.,2,Developing
Data Engineering,Self-Service & Democratization,Access & Permissions,"Some role-based access controls exist, but inconsistent across systems.",2,Developing
Data Engineering,Self-Service & Democratization,BI & Self-Service Tooling,Some departments have limited self-service BI tooling.,2,Developing
Data Engineering,Self-Service & Democratization,Data Literacy & Enablement,Occasional training or onboarding by analysts.,2,Developing
Data Engineering,Self-Service & Democratization,Metric Standardization,"Basic alignment of core metrics, but no source of truth.",2,Developing
Data Engineering,Self-Service & Democratization,Request Workflows,Some teams use request forms or tickets but backlog is long.,2,Developing
Data Engineering,Self-Service & Democratization,Data Access Governance,Manual checks on sensitive datasets; some access restrictions.,2,Developing
Data Engineering,Self-Service & Democratization,Integration with Operational Tools,Limited exports or spreadsheet-based workflows.,2,Developing
Data Engineering,Self-Service & Democratization,Monitoring Usage & Feedback,Occasional feedback is collected informally.,2,Developing
Data Engineering,Integration & APIs,System Integration,"Some scheduled/batch pipelines exist, often point-to-point; documentation may be lacking.",2,Developing
Data Engineering,Integration & APIs,API Design & Exposure,"A few ad hoc internal APIs exist, often built by engineers per need.",2,Developing
Data Engineering,Integration & APIs,Inbound API Usage,"External APIs used in ingestion pipelines, but error-handling and change detection are inconsistent.",2,Developing
Data Engineering,Integration & APIs,Outbound Data Activation,Outbound syncs done manually or via scripts; high dependency on engineers.,2,Developing
Data Engineering,Integration & APIs,Monitoring & Reliability,Basic error logs reviewed reactively; no real-time alerting.,2,Developing
Data Engineering,Integration & APIs,Security & Access Control,Secrets stored in environment files or password managers; access permissions loosely enforced.,2,Developing
Data Engineering,Integration & APIs,Documentation & Governance,"Some internal wikis or comments exist, but not actively maintained.",2,Developing
Data Engineering,Cost Management,Cost Visibility & Reporting,Partial awareness; basic cost reports generated manually or ad hoc.,2,Developing
Data Engineering,Cost Management,Cost Attribution,Basic tagging for some resources; attribution inconsistent.,2,Developing
Data Engineering,Cost Management,Budget Governance & Controls,Manual reviews and approval for large purchases or new tools.,2,Developing
Data Engineering,Cost Management,Monitoring & Alerts,Alerts set manually; often reactive and delayed.,2,Developing
Data Engineering,Cost Management,Optimization Practices,Occasional clean-ups or audits initiated manually.,2,Developing
Data Engineering,Cost Management,Forecasting & Planning,"Teams estimate costs before new projects, but accuracy is low.",2,Developing
Data Engineering,Cost Management,Cultural Awareness,Some developers are conscious of costs; no formal education.,2,Developing
Data Engineering,Cost Management,Tools & Automation,Cost Explorer or cloud console used manually.,2,Developing
Data Engineering,Data Ingestion,Ingestion Framework & Architecture,"Unified tooling (e.g., Airbyte, Kafka) adopted across multiple teams.",3,Defined & Repeatable
Data Engineering,Data Ingestion,Data Source Coverage,"Broad source coverage, including key SaaS apps and internal systems.",3,Defined & Repeatable
Data Engineering,Data Ingestion,Change Data Capture (CDC),"CDC supported for most key sources (e.g., Fivetran, Debezium); schema drift manually handled.",3,Defined & Repeatable
Data Engineering,Data Ingestion,Monitoring & Alerting,"Automated monitoring and alerting (e.g., Airflow, Datadog) with email or Slack notifications.",3,Defined & Repeatable
Data Engineering,Data Ingestion,Validation & Quality Checks,Row-level and schema validation implemented for major pipelines.,3,Defined & Repeatable
Data Engineering,Data Ingestion,Metadata & Lineage,"Lineage tracked using tools like dbt, Marquez, or internal metadata store.",3,Defined & Repeatable
Data Engineering,Data Ingestion,Security & Compliance,"Secure access patterns, IAM roles, and PII masking implemented for ingestion.",3,Defined & Repeatable
Data Engineering,Data Ingestion,Operational Maturity,Ingestion is templated; onboarding new sources takes days.,3,Defined & Repeatable
Data Engineering,Data Storage & Warehousing,Architecture & Design,Centralized warehouse/lakehouse design adopted across teams.,3,Defined & Repeatable
Data Engineering,Data Storage & Warehousing,Schema Management & Modeling,"Standardized modeling approach (e.g., dbt, Data Vault) adopted org-wide.",3,Defined & Repeatable
Data Engineering,Data Storage & Warehousing,Partitioning & Performance Design,"Common performance optimizations applied (e.g., clustering, materialized views).",3,Defined & Repeatable
Data Engineering,Data Storage & Warehousing,Storage Scalability & Cost,Storage monitoring and data tiering practices in place.,3,Defined & Repeatable
Data Engineering,Data Storage & Warehousing,Access Control & Permissions,"Fine-grained access (RBAC, row-level security) consistently enforced.",3,Defined & Repeatable
Data Engineering,Data Storage & Warehousing,Data Lineage & Documentation,"Lineage and metadata managed using tools like dbt, Amundsen, or in-house solutions.",3,Defined & Repeatable
Data Engineering,Data Storage & Warehousing,Reliability & SLAs,SLAs defined for key datasets; automated freshness checks exist.,3,Defined & Repeatable
Data Engineering,Data Storage & Warehousing,Environment Management,Separate environments (dev/staging/prod); changes deployed via manual pipelines.,3,Defined & Repeatable
Data Engineering,Data Storage & Warehousing,Tooling & Observability,Automated monitoring of performance and availability for key tables.,3,Defined & Repeatable
Data Engineering,Data Storage & Warehousing,Governance & Compliance,Sensitive data managed with defined rules and audit logs.,3,Defined & Repeatable
Data Engineering,Data Quality & Governance,Data Quality Monitoring,"Automated checks (nulls, duplicates, schema) on key tables. Failures raise alerts.",3,Defined & Repeatable
Data Engineering,Data Quality & Governance,Data Validation & Testing,"dbt tests, assertions, or expectations implemented across curated layers.",3,Defined & Repeatable
Data Engineering,Data Quality & Governance,Ownership & Stewardship,Owners/stewards assigned for most domains. Defined workflows for triaging issues.,3,Defined & Repeatable
Data Engineering,Data Quality & Governance,Cataloging & Discoverability,"Cataloging platform exists (e.g., Alation, DataHub). Descriptions added for most datasets.",3,Defined & Repeatable
Data Engineering,Data Quality & Governance,Data Lineage,Table-level lineage viewable by analysts and engineers.,3,Defined & Repeatable
Data Engineering,Data Quality & Governance,Master & Reference Data Management,Shared reference datasets standardized across domains.,3,Defined & Repeatable
Data Engineering,Data Quality & Governance,Access Control & Classification,Row/column-level access enforced on sensitive datasets. Classification rules in use.,3,Defined & Repeatable
Data Engineering,Data Quality & Governance,Policy Enforcement & Compliance,"Policies formalized (e.g., retention, sharing, masking) and partially automated.",3,Defined & Repeatable
Data Engineering,Data Quality & Governance,Change Management & Contracts,Data producers notify consumers before changes. Data contracts emerging.,3,Defined & Repeatable
Data Engineering,Data Quality & Governance,Incident Management & RCA,Known issues are tracked and reported; post-mortems documented.,3,Defined & Repeatable
Data Engineering,Data Modeling & Schema Design,Modeling Approach & Standards,"Common modeling patterns (e.g., star schema) adopted and documented.",3,Defined & Repeatable
Data Engineering,Data Modeling & Schema Design,Semantic Consistency,"Core metrics and terms (e.g., “Active User”) defined and used consistently across reports.",3,Defined & Repeatable
Data Engineering,Data Modeling & Schema Design,Collaboration & Requirements,Requirements are gathered systematically; stakeholders participate in model reviews.,3,Defined & Repeatable
Data Engineering,Data Modeling & Schema Design,Model Versioning & Change Mgmt,"Git version control, PRs, and changelogs used for all models.",3,Defined & Repeatable
Data Engineering,Data Modeling & Schema Design,Documentation & Discoverability,Descriptions and lineage included in data catalog for curated models.,3,Defined & Repeatable
Data Engineering,Data Modeling & Schema Design,Schema Enforcement & Contracts,"Schema is enforced with validations (e.g., dbt tests, JSON schemas, assertions).",3,Defined & Repeatable
Data Engineering,Data Modeling & Schema Design,Normalization & Denormalization,Clear guidance exists on when to normalize or denormalize data.,3,Defined & Repeatable
Data Engineering,Data Modeling & Schema Design,Tooling & Frameworks,"Standardized tooling (e.g., dbt, LookML) used for all production models.",3,Defined & Repeatable
Data Engineering,Data Modeling & Schema Design,Testing & Data Quality,Model testing integrated into CI/CD with assertions and freshness checks.,3,Defined & Repeatable
Data Engineering,Data Modeling & Schema Design,Usability for Analytics,"Modeled data is intuitive, well-documented, and reused across analytics projects.",3,Defined & Repeatable
Data Engineering,Metadata Management,Types & Scope of Metadata,"Technical, business, and lineage metadata actively maintained for key data assets.",3,Defined & Repeatable
Data Engineering,Metadata Management,Metadata Collection Process,"Metadata collected automatically via integration with pipelines (e.g., dbt, Airflow).",3,Defined & Repeatable
Data Engineering,Metadata Management,Tooling & Platform Integration,"Central metadata platform (e.g., DataHub, Alation) adopted for curated data assets.",3,Defined & Repeatable
Data Engineering,Metadata Management,Search & Discovery,Searchable metadata catalog exists for key datasets; supports table/column/metric-level discovery.,3,Defined & Repeatable
Data Engineering,Metadata Management,Documentation & Descriptions,"Business and technical metadata (descriptions, metric logic, etc.) defined and published for curated assets.",3,Defined & Repeatable
Data Engineering,Metadata Management,Data Lineage,Table-level lineage is captured and visualized in a metadata platform.,3,Defined & Repeatable
Data Engineering,Metadata Management,Stewardship & Ownership,Owners assigned for critical datasets; contact info discoverable.,3,Defined & Repeatable
Data Engineering,Metadata Management,"Policy, Classification & Governance","Sensitivity classifications (PII, PCI, etc.) and retention rules are tagged in metadata.",3,Defined & Repeatable
Data Engineering,Metadata Management,Automation & Self-Service,"Metadata used for documentation, scheduling, and impact analysis in selected workflows.",3,Defined & Repeatable
Data Engineering,Metadata Management,Cultural Adoption,Analysts and engineers rely on the catalog for discovery and documentation.,3,Defined & Repeatable
Data Engineering,Data Security & Privacy,Access Control & Authorization,Centralized identity management with RBAC for all systems.,3,Defined & Repeatable
Data Engineering,Data Security & Privacy,Data Classification,"Formal data classification policy (PII, PHI, PCI, public, internal) adopted.",3,Defined & Repeatable
Data Engineering,Data Security & Privacy,Encryption & Masking,Full encryption at rest and in transit for sensitive data.,3,Defined & Repeatable
Data Engineering,Data Security & Privacy,Audit Logging & Monitoring,Logging of data access and system events is enabled for critical systems.,3,Defined & Repeatable
Data Engineering,Data Security & Privacy,Privacy by Design,Privacy considerations included in requirements for data systems.,3,Defined & Repeatable
Data Engineering,Data Security & Privacy,Subject Rights & Consent,"Defined workflows for deletion, rectification, and access per regulation.",3,Defined & Repeatable
Data Engineering,Data Security & Privacy,Vendor & Third-Party Risk,Third-party DPAs in place and tracked; vendor risk assessments performed.,3,Defined & Repeatable
Data Engineering,Data Security & Privacy,Secure Development & Deployment,"SAST/DAST tools used; secret management via secure vaults (e.g., AWS KMS, HashiCorp Vault).",3,Defined & Repeatable
Data Engineering,Data Security & Privacy,Incident Response Readiness,Incident response playbooks defined and personnel trained.,3,Defined & Repeatable
Data Engineering,Data Security & Privacy,Compliance & Regulatory Readiness,Compliance controls implemented and reviewed; designated data privacy officer exists.,3,Defined & Repeatable
Data Engineering,Data Security & Privacy,Security & Privacy Culture,Security and privacy training is required for data team members.,3,Defined & Repeatable
Data Engineering,Performance Optimization,Pipeline & Job Performance,Runtime is tracked; high-cost or long-running jobs are regularly reviewed.,3,Defined & Repeatable
Data Engineering,Performance Optimization,Query Performance Tuning,"Query plans are reviewed; tuning strategies (e.g., CTEs, filters, joins) applied systematically.",3,Defined & Repeatable
Data Engineering,Performance Optimization,Partitioning & Indexing,Partitioning/indexing aligned with query patterns; clustered data sources.,3,Defined & Repeatable
Data Engineering,Performance Optimization,Materializations & Caching,"Materializations managed via transformation tools (e.g., dbt, ETL cache).",3,Defined & Repeatable
Data Engineering,Performance Optimization,Data Volume Management,Downsampling or archiving used in older layers; storage monitored.,3,Defined & Repeatable
Data Engineering,Performance Optimization,Compute Resource Management,Resource usage monitored via dashboards; size/configuration adjusted as needed.,3,Defined & Repeatable
Data Engineering,Performance Optimization,Performance Testing,Benchmarks are defined and evaluated periodically.,3,Defined & Repeatable
Data Engineering,Performance Optimization,Observability & Alerting,"Dashboards for latency, throughput, failures are available and reviewed.",3,Defined & Repeatable
Data Engineering,Performance Optimization,Optimization Ownership,Clear ownership for pipelines and queries; performance tracked as OKR or KPI.,3,Defined & Repeatable
Data Engineering,Performance Optimization,Feedback & End-User Experience,"User feedback informs optimization priorities (e.g., slow dashboards get fixed).",3,Defined & Repeatable
Data Engineering,Scalability & Infrastructure,Elasticity & Auto-Scaling,"Auto-scaling enabled for key services (e.g., cloud data warehouses).",3,Defined & Repeatable
Data Engineering,Scalability & Infrastructure,Modular Architecture,"Services decoupled via message queues or orchestration layers (e.g., Airflow, Kafka).",3,Defined & Repeatable
Data Engineering,Scalability & Infrastructure,Multi-Environment Management,Isolated environments for dev/staging/prod with IaC support.,3,Defined & Repeatable
Data Engineering,Scalability & Infrastructure,Infrastructure as Code (IaC),Full-stack provisioning via IaC with versioning and code reviews.,3,Defined & Repeatable
Data Engineering,Scalability & Infrastructure,Vendor Lock-In & Portability,Architecture reviewed for portability; core pipelines avoid vendor lock-in.,3,Defined & Repeatable
Data Engineering,Scalability & Infrastructure,Throughput & Latency Handling,Load handling tested; performance baseline defined per pipeline.,3,Defined & Repeatable
Data Engineering,Scalability & Infrastructure,Cost Optimization at Scale,Cost dashboards exist; inefficient jobs or services are reviewed quarterly.,3,Defined & Repeatable
Data Engineering,Scalability & Infrastructure,High Availability & Redundancy,Redundant systems and failover procedures in place for key services.,3,Defined & Repeatable
Data Engineering,Scalability & Infrastructure,Multi-Tenancy / Multi-Team Scale,"Teams have isolated resources, schemas, or namespaces; quotas partially enforced.",3,Defined & Repeatable
Data Engineering,Scalability & Infrastructure,Scalability Testing & Planning,Growth modeling and provisioning planning conducted annually or quarterly.,3,Defined & Repeatable
Data Engineering,Automation & Workflow Orchestration,Workflow Orchestration Tooling,Standardized orchestration platform in place with documented DAGs.,3,Defined & Repeatable
Data Engineering,Automation & Workflow Orchestration,Triggering & Scheduling,"Mixed triggering: time-based, event-based, and conditional; centralized schedule mgmt.",3,Defined & Repeatable
Data Engineering,Automation & Workflow Orchestration,Monitoring & Alerting,Alerts sent for failed/delayed jobs; monitored by team during work hours.,3,Defined & Repeatable
Data Engineering,Automation & Workflow Orchestration,Failure Handling & Retries,Retry logic exists for transient issues; failed pipelines can restart from point of failure.,3,Defined & Repeatable
Data Engineering,Automation & Workflow Orchestration,Parameterization & Reuse,"Workflows are reusable with templating, macros, or parameterization.",3,Defined & Repeatable
Data Engineering,Automation & Workflow Orchestration,Documentation & Discoverability,Workflows are documented in orchestration tools or data catalogs.,3,Defined & Repeatable
Data Engineering,Automation & Workflow Orchestration,Secrets & Credential Management,Vaults or cloud secret managers integrated with orchestration.,3,Defined & Repeatable
Data Engineering,Automation & Workflow Orchestration,Idempotency & State Management,All jobs are idempotent or resumable; state tracked via job metadata.,3,Defined & Repeatable
Data Engineering,Automation & Workflow Orchestration,Multi-Tenant Workflow Support,Workflows organized by domain/team with shared platform governance.,3,Defined & Repeatable
Data Engineering,Automation & Workflow Orchestration,CI/CD & Workflow Testing,Workflows validated in dev/staging environments before production deployment.,3,Defined & Repeatable
Data Engineering,Observability & Monitoring,Pipeline Health Monitoring,"All critical pipelines have status tracking, including success/failure and duration.",3,Defined & Repeatable
Data Engineering,Observability & Monitoring,Data Quality Monitoring,"Automated validation on known failure points (e.g., null checks, uniqueness).",3,Defined & Repeatable
Data Engineering,Observability & Monitoring,Infrastructure Resource Monitoring,Centralized resource monitoring with trend analysis.,3,Defined & Repeatable
Data Engineering,Observability & Monitoring,Logging Practices,"Structured, centralized logging in place for pipelines and services.",3,Defined & Repeatable
Data Engineering,Observability & Monitoring,Alerting & Escalation,Alerts defined for key workflows with known escalation contacts.,3,Defined & Repeatable
Data Engineering,Observability & Monitoring,Lineage & Traceability,"Lineage tracked for major pipelines using metadata tools (e.g., dbt, Collibra).",3,Defined & Repeatable
Data Engineering,Observability & Monitoring,Dashboards & Observability Tools,Central dashboard for pipeline monitoring and data availability status.,3,Defined & Repeatable
Data Engineering,Observability & Monitoring,SLAs/SLOs for Data Pipelines,SLAs defined for key data products; monitored with time-to-availability.,3,Defined & Repeatable
Data Engineering,Observability & Monitoring,Incident Management,Tickets and RCAs created for major incidents; resolution time tracked.,3,Defined & Repeatable
Data Engineering,Observability & Monitoring,Proactive Monitoring / Anomaly Detection,Some automated anomaly detection in data and system performance.,3,Defined & Repeatable
Data Engineering,Disaster Recovery & Backup,Backup Coverage,All critical systems and datasets backed up regularly.,3,Defined & Repeatable
Data Engineering,Disaster Recovery & Backup,Frequency & Retention,"Defined backup frequencies and retention per system (e.g., 30–90 days).",3,Defined & Repeatable
Data Engineering,Disaster Recovery & Backup,Monitoring & Validation,Backup jobs monitored; alerts on failure; basic integrity checks.,3,Defined & Repeatable
Data Engineering,Disaster Recovery & Backup,Disaster Recovery Planning,DR plan documented with responsibilities and timeframes defined.,3,Defined & Repeatable
Data Engineering,Disaster Recovery & Backup,Recovery Testing / Drills,Recovery tests executed annually on selected systems.,3,Defined & Repeatable
Data Engineering,Disaster Recovery & Backup,Infrastructure Resilience,High availability for core components; failover is mostly manual.,3,Defined & Repeatable
Data Engineering,Disaster Recovery & Backup,Data Versioning & Time Travel,"Data versioning enabled in some systems (e.g., time travel, snapshot tables).",3,Defined & Repeatable
Data Engineering,Disaster Recovery & Backup,Access Controls for Backups,Access to backups is role-based; some logs/audits captured.,3,Defined & Repeatable
Data Engineering,Disaster Recovery & Backup,Recovery Time (RTO),"Defined RTO targets (e.g., < 4 hours) and achievable in dry runs.",3,Defined & Repeatable
Data Engineering,Disaster Recovery & Backup,Recovery Point (RPO),"RPO defined and aligned with data importance (e.g., 1–24 hours).",3,Defined & Repeatable
Data Engineering,Disaster Recovery & Backup,Third-Party Dependency Coverage,Vendor SLAs reviewed and documented; limited fallback options exist.,3,Defined & Repeatable
Data Engineering,Disaster Recovery & Backup,Post-Recovery Validation,"Checklists followed for pipeline, table, and report validation.",3,Defined & Repeatable
Data Engineering,Self-Service & Democratization,Data Discoverability,Centralized catalog or glossary exists but lacks full coverage.,3,Defined & Repeatable
Data Engineering,Self-Service & Democratization,Access & Permissions,Access is role-based and managed via tickets or workflow.,3,Defined & Repeatable
Data Engineering,Self-Service & Democratization,BI & Self-Service Tooling,Core dashboards and curated datasets available in BI tools.,3,Defined & Repeatable
Data Engineering,Self-Service & Democratization,Data Literacy & Enablement,Documentation and training exist for common KPIs and datasets.,3,Defined & Repeatable
Data Engineering,Self-Service & Democratization,Metric Standardization,KPI definitions documented and reused across teams.,3,Defined & Repeatable
Data Engineering,Self-Service & Democratization,Request Workflows,Prioritized intake workflows exist; backlog reviewed regularly.,3,Defined & Repeatable
Data Engineering,Self-Service & Democratization,Data Access Governance,Sensitive data is tagged and access-controlled; auditing is possible.,3,Defined & Repeatable
Data Engineering,Self-Service & Democratization,Integration with Operational Tools,Data can be exported from BI tools or queried via SQL.,3,Defined & Repeatable
Data Engineering,Self-Service & Democratization,Monitoring Usage & Feedback,Usage of dashboards is monitored; feedback is encouraged.,3,Defined & Repeatable
Data Engineering,Integration & APIs,System Integration,"Standardized connectors or ETL tools (e.g., Airbyte, Fivetran) used; integration patterns documented.",3,Defined & Repeatable
Data Engineering,Integration & APIs,API Design & Exposure,"Internal APIs offer curated datasets or features; some standards used (RESTful, authentication).",3,Defined & Repeatable
Data Engineering,Integration & APIs,Inbound API Usage,External APIs are integrated into scheduled or event-driven ingestion pipelines; common retry logic applied.,3,Defined & Repeatable
Data Engineering,Integration & APIs,Outbound Data Activation,Some reverse ETL or push-based APIs used to sync enriched data into business tools.,3,Defined & Repeatable
Data Engineering,Integration & APIs,Monitoring & Reliability,Scheduled pipeline failures and API response issues monitored with alerts; SLAs defined for some systems.,3,Defined & Repeatable
Data Engineering,Integration & APIs,Security & Access Control,"Secrets rotated and stored in vaults (e.g., AWS Secrets Manager, HashiCorp Vault); token scopes defined.",3,Defined & Repeatable
Data Engineering,Integration & APIs,Documentation & Governance,Integration flows and APIs documented in shared repositories or portals; ownership documented.,3,Defined & Repeatable
Data Engineering,Cost Management,Cost Visibility & Reporting,Regular reporting by environment or service; leadership reviews costs periodically.,3,Defined & Repeatable
Data Engineering,Cost Management,Cost Attribution,Costs are tagged and mapped to business units or initiatives; used for internal analysis.,3,Defined & Repeatable
Data Engineering,Cost Management,Budget Governance & Controls,Teams operate under soft budgets with tracked spend.,3,Defined & Repeatable
Data Engineering,Cost Management,Monitoring & Alerts,Cost spikes monitored daily/weekly; alerts configured for critical resources.,3,Defined & Repeatable
Data Engineering,Cost Management,Optimization Practices,Inefficient queries and storage patterns identified and addressed during reviews.,3,Defined & Repeatable
Data Engineering,Cost Management,Forecasting & Planning,Forecasting based on usage trends and project scope; reviewed quarterly.,3,Defined & Repeatable
Data Engineering,Cost Management,Cultural Awareness,Cost is discussed during reviews and planning; ownership begins to emerge.,3,Defined & Repeatable
Data Engineering,Cost Management,Tools & Automation,Dashboards or reports built to monitor top-line metrics.,3,Defined & Repeatable
Data Engineering,Data Ingestion,Ingestion Framework & Architecture,Framework is standardized org-wide; ingestion workflows are templatized and automated.,4,Managed & Optimized
Data Engineering,Data Ingestion,Data Source Coverage,Ingestion covers 90%+ of business-critical systems with known gaps tracked.,4,Managed & Optimized
Data Engineering,Data Ingestion,Change Data Capture (CDC),"Schema changes are detected, versioned, and handled gracefully; lineage maintained.",4,Managed & Optimized
Data Engineering,Data Ingestion,Monitoring & Alerting,SLA/SLOs tracked; alerts include root-cause hints; teams receive daily observability reports.,4,Managed & Optimized
Data Engineering,Data Ingestion,Validation & Quality Checks,Validation rules are version-controlled and centrally managed; bad records quarantined.,4,Managed & Optimized
Data Engineering,Data Ingestion,Metadata & Lineage,Metadata cataloged and searchable; ingestion status visible to all teams.,4,Managed & Optimized
Data Engineering,Data Ingestion,Security & Compliance,Compliance auditing integrated into pipelines; data governance tools support tracking.,4,Managed & Optimized
Data Engineering,Data Ingestion,Operational Maturity,Central team owns ingestion framework; onboarding SLAs defined; config stored in Git.,4,Managed & Optimized
Data Engineering,Data Storage & Warehousing,Architecture & Design,"Tiered architecture in place (raw, curated, modeled) with data lifecycle separation.",4,Managed & Optimized
Data Engineering,Data Storage & Warehousing,Schema Management & Modeling,"Schemas are versioned, documented, and integrated with CI/CD.",4,Managed & Optimized
Data Engineering,Data Storage & Warehousing,Partitioning & Performance Design,"Performance is proactively managed via query profiling, usage monitoring, and refactoring.",4,Managed & Optimized
Data Engineering,Data Storage & Warehousing,Storage Scalability & Cost,Archived and cold data managed automatically; usage monitored for cost optimization.,4,Managed & Optimized
Data Engineering,Data Storage & Warehousing,Access Control & Permissions,Auditable access logs exist; policies reviewed periodically and documented.,4,Managed & Optimized
Data Engineering,Data Storage & Warehousing,Data Lineage & Documentation,Real-time lineage available and tied to monitoring and alerting.,4,Managed & Optimized
Data Engineering,Data Storage & Warehousing,Reliability & SLAs,Alerts for SLA violations and data freshness; root cause analysis integrated.,4,Managed & Optimized
Data Engineering,Data Storage & Warehousing,Environment Management,CI/CD workflows manage environment changes; rollback and test capabilities exist.,4,Managed & Optimized
Data Engineering,Data Storage & Warehousing,Tooling & Observability,"Central observability layer in place (e.g., Monte Carlo, DataDog); alerts routed to owners.",4,Managed & Optimized
Data Engineering,Data Storage & Warehousing,Governance & Compliance,Governance platform in place with regular compliance checks and automated tagging.,4,Managed & Optimized
Data Engineering,Data Quality & Governance,Data Quality Monitoring,Comprehensive quality rules across pipelines. Alerts routed to owners. Root cause tracked.,4,Managed & Optimized
Data Engineering,Data Quality & Governance,Data Validation & Testing,CI/CD-integrated testing; regressions blocked before deploy.,4,Managed & Optimized
Data Engineering,Data Quality & Governance,Ownership & Stewardship,Owners accountable via SLAs. Data quality KPIs reported.,4,Managed & Optimized
Data Engineering,Data Quality & Governance,Cataloging & Discoverability,Automatically ingested metadata; tagging and popularity scores.,4,Managed & Optimized
Data Engineering,Data Quality & Governance,Data Lineage,Column-level lineage with transformations and dependencies traceable.,4,Managed & Optimized
Data Engineering,Data Quality & Governance,Master & Reference Data Management,Version-controlled MDM pipelines with auditability.,4,Managed & Optimized
Data Engineering,Data Quality & Governance,Access Control & Classification,Automated masking and tagging; access reviews conducted routinely.,4,Managed & Optimized
Data Engineering,Data Quality & Governance,Policy Enforcement & Compliance,"Compliance tooling (e.g., GDPR audit logs, PII scanners) in active use.",4,Managed & Optimized
Data Engineering,Data Quality & Governance,Change Management & Contracts,"Contract registry, versioning, and CI validation in place.",4,Managed & Optimized
Data Engineering,Data Quality & Governance,Incident Management & RCA,Standard RCA workflow in place; metrics used to track mean time to detection and resolution.,4,Managed & Optimized
Data Engineering,Data Modeling & Schema Design,Modeling Approach & Standards,Modeling standards enforced with code review and automation.,4,Managed & Optimized
Data Engineering,Data Modeling & Schema Design,Semantic Consistency,"Shared semantic layer or metric store (e.g., LookML, dbt Metrics) in place.",4,Managed & Optimized
Data Engineering,Data Modeling & Schema Design,Collaboration & Requirements,"Agile and iterative collaboration between engineers, analysts, and business SMEs.",4,Managed & Optimized
Data Engineering,Data Modeling & Schema Design,Model Versioning & Change Mgmt,CI/CD pipelines validate schema changes and downstream impacts.,4,Managed & Optimized
Data Engineering,Data Modeling & Schema Design,Documentation & Discoverability,"Automated documentation from source code (e.g., dbt docs); searchable catalog used by analysts.",4,Managed & Optimized
Data Engineering,Data Modeling & Schema Design,Schema Enforcement & Contracts,Schema contracts with producers/consumers in place; violations alert and block deployment.,4,Managed & Optimized
Data Engineering,Data Modeling & Schema Design,Normalization & Denormalization,Tradeoffs are quantified using query cost/performance benchmarks.,4,Managed & Optimized
Data Engineering,Data Modeling & Schema Design,Tooling & Frameworks,"Tooling integrated into orchestration, testing, CI/CD, and documentation pipelines.",4,Managed & Optimized
Data Engineering,Data Modeling & Schema Design,Testing & Data Quality,"Automated anomaly detection, QA dashboards, and failure alerting in place.",4,Managed & Optimized
Data Engineering,Data Modeling & Schema Design,Usability for Analytics,Analysts self-serve with high confidence; low analyst-to-data engineering support ratio.,4,Managed & Optimized
Data Engineering,Metadata Management,Types & Scope of Metadata,"Metadata coverage extended to quality, freshness, usage, ownership, sensitivity.",4,Managed & Optimized
Data Engineering,Metadata Management,Metadata Collection Process,Metadata updates embedded in CI/CD or orchestration pipelines.,4,Managed & Optimized
Data Engineering,Metadata Management,Tooling & Platform Integration,"Metadata platform is integrated with data warehouse, orchestration, modeling, and BI tools.",4,Managed & Optimized
Data Engineering,Metadata Management,Search & Discovery,"Rich search experience with filters, tags, popularity metrics, and user ratings.",4,Managed & Optimized
Data Engineering,Metadata Management,Documentation & Descriptions,Descriptions enforced via templates or linter in CI/CD. Ownership and update dates visible.,4,Managed & Optimized
Data Engineering,Metadata Management,Data Lineage,Column-level lineage from source to dashboard is accessible and integrated with impact analysis.,4,Managed & Optimized
Data Engineering,Metadata Management,Stewardship & Ownership,Data stewardship roles formalized; metadata quality tracked via KPIs.,4,Managed & Optimized
Data Engineering,Metadata Management,"Policy, Classification & Governance","Governance rules enforced via access controls, masking, and monitoring in metadata platform.",4,Managed & Optimized
Data Engineering,Metadata Management,Automation & Self-Service,"Metadata powers dynamic orchestration, schema drift detection, and data quality tests.",4,Managed & Optimized
Data Engineering,Metadata Management,Cultural Adoption,Business and technical users contribute to and maintain metadata collaboratively.,4,Managed & Optimized
